user_name,twitter_id,party_name,state,office_title,account_type,first_name,middle_name,last_name,suffix,status,collecting,showing,bioguide_id,gender,fec_candidate_id,district,branch
GrangerCampaign,1197909460678823936,Republican,TX,House Candidate,campaign,Kay,"",Granger,"",1,true,true,,F,H6TX12060,12,H
JHullihanTX,1382392388555927553,Republican,TX,House Candidate,campaign,Jonathan,"",Hullihan,"",1,true,true,,M,H2TX08133,08,H
billand_mike,1362509606224875520,Republican,TX,House Candidate,campaign,Mike,"",Billand,"",1,true,true,,M,H2TX02110,02,H
OdessaKellyTN,1378504343406702599,Democrat,TN,House Candidate,campaign,Odessa,"",Kelly,"",1,true,true,,"",H2TN05305,05,H
NateDossIII,1359037060745723905,Democrat,TN,House Candidate,campaign,Nate,"",Doss,"",1,true,true,,M,H2TN03201,03,H
kmforsenate,993517303781306369,Democrat,SC,Senate Candidate,campaign,Krystle,"",Matthews,"",1,true,true,,F,S2SC00103,00,S
LynzPiperLoomis,1383857110803386368,Republican,SC,House Candidate,campaign,Lynz,"",Piper-Loomis,"",1,true,true,,"",H2SC01077,01,H
MartinRosenfel3,1361878792470413312,Republican,PA,Senate Candidate,campaign,Martin,"",Rosenfield,"",1,true,true,,M,S2PA00331,00,S
BurtonForPA,1268190379372949504,Republican,PA,House Candidate,campaign,Daniel,"",Burton,"",1,true,true,,M,H2PA00034,00,H
shank_al,1195378364418338822,Democrat,PA,Senate Candidate,campaign,Al,"",Shank,"",1,true,true,,M,S2PA00422,00,S
BrandaunDean,86247844,Democrat,AL,Senate Candidate,campaign,Brandaun,"",Dean,"",1,true,true,,M,S2AL00111,00,S
KyleNortonPA,1355932627266641922,Democrat,PA,Senate Candidate,campaign,Kyle,"",Norton,"",1,true,true,,M,S2PA00349,00,S
ElectBrianAllen,1286281367140143104,Democrat,PA,House Candidate,campaign,Brian,"",Allen,"",1,true,true,,"",H0PA10110,10,H
TeddyForPA,1157277186988171264,Republican,PA,House Candidate,campaign,Teddy,"",Daniels,"",1,true,true,,M,H0PA08197,08,H
rodill4congress,1379815147544395785,Democrat,PA,House Candidate,campaign,Austin,"",Rodill,"",1,true,true,,M,H2PA03137,03,H
ahunt4congress,1271229734324666368,Democrat,PA,House Candidate,campaign,Alexandra,"",Hunt,"",1,true,true,,F,H2PA03129,03,H
